cycle_number,capacity,max_temp,min_voltage,mean_current,C1,C2,C3,C4,RUL,stress_level
1,1.8564874208181568,38.98218133148803,2.612467347907089,-1.8187019641679727,-2.538596015794883e-05,0.010483694170548,-0.7177307781351717,95.20367150654656,447,low
3,1.846327249719927,39.03339796678704,2.587208728940726,-1.817559850661287,-2.398344721099117e-05,0.0104765937873384,-0.680329692142395,94.6823010876465,445,low
5,1.835349194223408,38.81879668981741,2.65191689384378,-1.816486541884096,-2.372253443884778e-05,0.0105292533088432,-0.7028905832978506,94.19366603208124,443,low
7,1.8352625275821128,38.7623045063458,2.592947964776547,-1.8255891938692528,-2.189023960424478e-05,0.0105723042266563,-0.6036558396720549,93.6398765304784,441,low
9,1.8346455082120416,38.66539257343368,2.547419651124539,-1.8261139590277584,-2.268219106764225e-05,0.0105870868152191,-0.6954102616781666,93.6884465844294,439,low
11,1.8356616600675493,38.75169504640032,2.5209480504077413,-1.8168108743168805,-2.190039532463059e-05,0.0105426988400249,-0.611229301849192,94.14616512577513,437,low
13,1.8351461429226603,38.8207012322275,2.487927319492314,-1.816791144707133,-2.485704271574279e-05,0.0106088108042052,-0.7060687692829665,94.200711925952,435,low
15,1.8257567905665533,38.51713023385634,2.665204904745877,-1.844341212075406,-2.9170800723162705e-05,0.0106737056071855,-0.7868256235249512,92.25125969546112,433,medium
17,1.8247738529891333,38.526267904657,2.603858472633368,-1.853972745505648,-2.4865346156858484e-05,0.0107589218558176,-0.6952630417235248,91.68166574503223,431,low
19,1.824613268496936,38.52698128472781,2.552853984885676,-1.853589933851096,-2.455555162393946e-05,0.0106970173137797,-0.6745471011897435,91.679206947994,429,low
21,1.8246195526864504,38.54143406601644,2.472448301852732,-1.863380178294828,-2.3363369975175665e-05,0.0107149118579919,-0.671550454022542,91.18027665304987,427,low
24,1.814201935767392,38.52197451768004,2.64956413267546,-1.872968810287894,-2.559617743162253e-05,0.010774534138149,-0.6769538739798717,90.18288605602808,424,low
26,1.8137521577549047,38.582485834057856,2.5724981777366227,-1.8826095043160835,-2.5755290492039182e-05,0.0108126609828471,-0.6370656143616586,89.66071267737759,422,low
28,1.8134404914735824,38.52029413487392,2.5249886697730286,-1.882536787636365,-2.7127985245117312e-05,0.0108075810848459,-0.6898193964591104,89.69339681146661,420,medium
30,1.8025980036306504,38.21358592965045,2.694621861688723,-1.8817935155260213,-2.3795526496580245e-05,0.0108386877373297,-0.6038445964141802,89.1382370415804,418,low
32,1.80210690024615,38.1983618706913,2.64010141737067,-1.8921861285036712,-2.5939024362175624e-05,0.0108589038869023,-0.6616756513190145,88.67005014347731,416,low
